name    price
14720 4th St, Laurel, MD    1$1,295+ 2$1,640+ 3$2,000+
7810 Contee Rd, Laurel, MD     1$1,565+ 2$1,935+ 3$2,430
14028 Vista Dr APT 78C, Laurel, MD    + 1$1,201+ 2$1,416+ 3$1,78
7612 Woodruff Ct, Laurel, MD    6+ 1$1,119+ 2$1,363+ 3$1,7
3274 Amazon Ln, Laurel, MD    40+ 1$1,170+ 2$1,350+ 3$1,
9220 Old Lantern Way, Laurel, MD    605+ 1$1,379+ 2$1,524+ 1$1
14122 Bowsprit Ln APT 812, Laurel, MD    ,175+ 2$1,335+ 1$1,650+ 2$
8737 Contee Rd, Laurel, MD    2,031+ 3$2,219+ 1$1,319+ 2
13178 Larchdale Rd, Laurel, MD    $1,491+ 3$1,960 1$1,311+ 2
9401 Spring House Ln, Laurel, MD    $1,675+ 1$1,269+ 2$1,349+ 
8800 Hunting Ln, Laurel, MD    3$1,630+
